四川西允,105.84,31.01  
四川营山,106.57,31.07  
四川蓬安,106.44,31.04  
四川广安,106.61,30.48  
四川岳池,106.43,30.55  
四川武胜,106.3,30.38  
四川华云,106.74,30.41  
四川达县,107.49,31.23  
四川万源,108.06,32.07  
四川宜汉,107.71,31.39  
四川开江,107.87,31.1  
四川邻水,106.91,30.36  
四川大竹,107.21,30.75  
四川渠县,106.94,30.85  
四川南江,106.83,32.36  
四川巴中,106.73,31.86  
四川平昌,107.11,31.59  
四川通江,108.24,31.95  
四川百沙,108.18,32  
四川雅安,102.97,29.97  
四川芦山,102.91,30.17  
四川名山,103.06,30.09  
四川荣经,102.81,29.79  
四川汉源,102.66,29.4  
四川石棉,102.38,29.21  
四川天全,102.78,30.09  
四川宝兴,102.84,30.36  
四川马尔康,102.22,31.92  
四川红原,102.55,31.79  
四川阿坝,101.72,31.93  
四川若尔盖,102.94,33.62  
四川黑水,102.95,32.06  
四川松潘,103.61,32.64  
四川南坪,104.19,33.23  
四川汶川,103.61,31.46  
四川理县,103.16,31.42  
四川小金,102.34,30.97  
四川金川,102.03,31.48  
四川壤塘,100.97,32.3  
四川茂汶,103.89,31.67  
四川康定,101.95,30.04  
四川炉霍,100.65,31.38  
四川甘孜,99.96,31.64  
四川新龙,100.28,30.96  
四川白玉,98.83,32.23  
四川德格,98.57,31.81  
四川石渠,98.06,33.01  
四川色达,100.35,32.3  
四川泸定,102.25,29.92  
四川丹巴,101.87,30.85  
四川九龙,101.53,29.01  
四川雅江,101,30.03  
四川道孚,101.14,30.99  
四川理塘,100.28,30.03  
四川乡城,99.78,28.93  
四川稻城,100.31,29.04  
四川巴塘,99,30  
四川得荣,99.25,28.71  
四川西昌,102.29,27.92  
四川昭觉,102.83,28.03  
四川甘洛,102.74,28.96  
四川雷波,103.62,28.21  
四川宁南,102.76,27.07  
四川会东,102.55,26.74  
四川会理,102.21,26.67  
四川德昌,102.15,27.4  
四川美姑,103.14,28.33  
四川金阳,103.22,27.73  
四川布拖,102.8,27.7  
四川普格,102.52,27.38  
四川喜德,102.42,28.33  
四川越西,102.49,28.66  
四川盐源,101.51,27.42  
四川冕宁,102.15,28.58  
四川木里,101.25,27.9    
天津天津,117.2,39.13  
天津宁河,117.83,39.33  
天津静海,116.92,38.93  
天津蓟县,117.4,40.05  
天津宝坻,117.3,39.75  
天津武清,117.05,39.4  
宁夏回族自治区银川,106.27,38.47  
宁夏回族自治区永宁,106.24,38.28  
宁夏回族自治区贺兰,106.35,38.55  
宁夏回族自治区石嘴山,106.39,39.04  
宁夏回族自治区平罗,106.54,38.91  
宁夏回族自治区陶乐,106.69,38.82  
宁夏回族自治区吴忠,106.21,37.99  
宁夏回族自治区同心,105.94,36.97  
宁夏回族自治区灵武,106.34,38.1  
宁夏回族自治区中宁,105.66,37.48  
宁夏回族自治区盐池,107.41,37.78  
宁夏回族自治区中卫,105.18,37.51  
宁夏回族自治区青铜峡,106.07,38.02  
宁夏回族自治区固原,106.28,36.01  
宁夏回族自治区西吉,105.7,35.97  
宁夏回族自治区泾源,106.33,35.5  
宁夏回族自治区海原,105.64,36.56  
宁夏回族自治区隆德,106.11,35.63  
安徽合肥,117.27,31.86  
安徽长丰,117.16,32.47  
安徽淮南,116.98,32.62  
安徽凤台,116.71,32.68  
安徽淮北,116.77,33.97  
安徽濉溪,116.76,33.92  
安徽芜湖,118.38,31.33  
安徽铜陵,117.82,30.93  
安徽蚌埠,117.34,32.93  
安徽马鞍山,118.48,31.56  
安徽安庆,117.03,30.52  
安徽宿州,116.97,33.63  
安徽宿县,116.97,33.63  
安徽砀山,116.34,34.42  
安徽萧县,116.93,34.19  
安徽吴壁,117.55,33.55  
安徽泗县,117.89,33.49  
安徽五河,117.87,33.14  
安徽固镇,117.32,33.33  
安徽怀远,117.19,32.95  
安徽滁州,118.31,32.33  
安徽嘉山,117.98,32.78  
安徽天长,119,32.68  
安徽来安,118.44,32.44  
安徽全椒,118.27,32.1  
安徽定远,117.68,32.52  
安徽凤阳,117.4,32.86  
安徽巢湖,117.87,31.62  
安徽巢县,117.87,31.62  
安徽肥东,117.47,31.89  
安徽含山,118.11,31.7  
安徽和县,118.37,31.7  
安徽无为,117.75,31.3  
安徽卢江,117.29,31.23  
安徽宣城,118.73,31.95  
安徽当涂,118.49,31.55  
安徽郎溪,119.17,31.14  
安徽广德,119.41,30.89  
安徽泾县,118.41,30.68  
安徽南陵,118.32,30.91  
安徽繁昌,118.21,31.07  
安徽宁国,118.95,30.62  
安徽青阳,117.84,30.64  
安徽屯溪,118.31,29.72  
安徽休宁,118.19,29.81  
安徽旌得,118.53,30.28  
安徽绩溪,118.57,30.07  
安徽歙县,118.44,29.88  
安徽祁门,117.7,29.86  
安徽黟县,117.92,29.93  
安徽太平,118.13,30.28  
安徽石台,117.48,30.19  
安徽桐城,116.94,31.04  
安徽纵阳,117.21,30.69  
安徽怀宁,116.63,30.41  
安徽望江,116.69,30.12  
安徽宿松,116.13,30.15  
安徽太湖,116.27,30.42  
安徽岳西,116.36,30.84  
安徽潜山,116.53,30.62  
安徽东至,116.99,30.08  
安徽贵池,117.48,30.66  
安徽六安,116.49,31.73  
安徽霍丘,116.27,32.32  
安徽寿县,116.78,32.57  
安徽肥西,117.15,31.7  
安徽舒城,116.94,31.45  
安徽霍山,116.32,31.38  
安徽金寨,115.87,31.67  
安徽阜阳,115.81,32.89  
安徽毫县,116.76,33.86  
安徽涡阳,116.21,33.49  
安徽蒙城,116.55,33.25  
安徽利辛,116.19,33.12  
安徽颖上,116.26,32.62  
安徽阜南,115.6,32.63  
安徽临泉,115.24,33.06  
安徽界首,115.34,33.24  
安徽太和,115.61,33.16  
山东济南,117,36.65  
山东历城,117.07,36.69  
山东长清,116.73,36.55  
山东章丘,117.53,36.72  
山东青岛,120.33,36.07  
山东崂山,120.42,36.15  
山东胶南,119.97,35.88  
山东即墨,120.45,36.38  
山东胶县,120,36.28  
山东淄博,118.05,36.78  
山东枣庄,117.57,34.86  
山东滕县,117.17,35.09  
山东东营,118.49,37.46  
山东垦利,118.54,37.59  
山东利津,118.25,37.49  
山东德州,116.29,37.45  
山东宁津,116.8,37.64  
山东乐陵,117.22,37.74  
